GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
back-end,it.unisa.c02.rently.rently_application.business.gestioneRicerca.service,GestioneRicercaServiceImpl,29,6,0,0,6,1,6,1,6,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneAreaPersonale.service,GestioneAreaPersonaleServiceImpl,36,6,4,0,9,1,5,1,3,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneAvvisi.service,GestioneAvvisiServiceImpl,28,6,2,0,7,1,4,1,3,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneAutenticazione.controller,GestioneAutenticazioneController,103,156,6,6,23,30,6,3,1,2
back-end,it.unisa.c02.rently.rently_application.business.gestioneAnnuncio.controller,GestioneAnnuncioController,297,210,8,4,64,41,8,4,4,2
back-end,it.unisa.c02.rently.rently_application.business.gestioneAvvisi.controller,GestioneAvvisiController,405,21,40,0,94,1,26,1,6,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneRicerca.controller,GestioneRicercaController,265,12,12,0,52,1,12,1,6,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneChat.controller,GestioneChatController,54,99,5,5,11,20,4,4,1,2
back-end,it.unisa.c02.rently.rently_application.business.gestioneAnnuncio.service,GestioneAnnuncioServiceImpl,39,6,2,0,9,1,6,1,5,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneNoleggio.service,GestioneNoleggioServiceImpl,55,15,0,0,10,3,9,3,9,3
back-end,it.unisa.c02.rently.rently_application.business.gestioneChat.service,GestioneChatServiceImpl,12,6,0,0,2,1,2,1,2,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneValutazione.controller,GestioneValutazioneController,249,120,28,8,51,21,21,4,5,2
back-end,it.unisa.c02.rently.rently_application.business.gestioneNoleggio.controller,GestioneNoleggioController,432,64,40,4,83,11,26,4,6,2
back-end,it.unisa.c02.rently.rently_application.business.gestioneAutenticazione.service,GestioneAutenticazioneServiceImpl,36,6,4,0,7,1,6,1,4,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneAreaPersonale.controller,GestioneAreaPersonaleController,35,117,3,5,10,25,3,4,1,2
back-end,it.unisa.c02.rently.rently_application,RentlyApplication,5,3,0,0,2,1,1,1,1,1
back-end,it.unisa.c02.rently.rently_application.business.gestioneValutazione.service,GestioneValutazioneServiceImpl,84,9,6,0,16,1,14,1,11,1
